"Period type","Period type"
"Period / Date","Period / Date"
"sessions / days","sessions / days"
"Period from, to","Period from, to"
"Specific date","Specific date"
"Every day of week","Every day of week"
"Every day of month","Every day of month"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thuersday","Thuersday"
"Friday","Friday"
"Sunday","Sunday"
"Saturday","Saturday"
"Action","Action"
"first...","first..."
"last...","last..."
"Session","Session"
"Add Excluded","Add Excluded"
"Business day","Business day"
"Every day","Every day"
"Specific date","Specific date"
"Weekend","Weekend"
"Day","Day"
"Starting times","Starting times"
"hours","hours"
"minutes","minutes"
"add session","add session"
"remove day","remove day"
"Add day definition","Add day definition"
"Type","Type"
"Condition","Condition"
"Price Move","Price Move"
"Amount Type","Amount Type"
"Amount","Amount"
"First Moment","First Moment"
"Last Minute","Last Minute"
"Length of Reservation","Length of Reservation"
"increase","increase"
"decrease","decrease"
"booked at least far in","booked at least far in"
"booked nearest in","booked nearest in"
"months","months"
"days","days"
"weeks","weeks"
"minimal quantity is","minimal quantity is"
"Add Rule","Add Rule"
"percentage","percentage"
"fixed amount","fixed amount"
"Billable Period","Billable Period"
"Exclude Days","Exclude Days"
"Price Rules","Price Rules"
"Custom Sessions","Custom Sessions"
"Shipping","Shipping"
"Quantity","Quantity"
"Booking From","Booking From"
"Booking To","Booking To"
"Session","Session"
"Day","Day"
"enabled","enabled"
"disabled","disabled"
"No selected session.","No selected session."
"Please select date and session to book this product.","Please select date and session to book this product."
"No selected date.","No selected date."
"Please select date or day range to book this product.","Please select date or day range to book this product."
"Your selected session:","Your selected session:"
"Your selected dates:","Your selected dates:"
"Maximal bookable quantity: ","Maximal bookable quantity: "
"Availible discounts for checkout: ","Available discounts for checkout: "
"For reservations after ","For reservations after "
"For reservations before ","For reservations before "
"For reservations of more than ","For reservations of more than "
" sessions"," sessions"
" days"," days"
" there is "," there is "
" there is First Moment"," there is First Moment"
" there is Last Minute"," there is Last Minute"
" mark-up by "," mark-up by "
" discount by "," discount by "
"Bookme Grid","Bookme Gridd"
"Books and reservations","Books and reservations"
"Booked Products","Booked Products"